"","tripid","ox","oy","oz","departure","dx","dy","dz","arrival","tdistance","ttime","dow","timestamp","uid","id"
"538","23",718105.300128941,9678585.1021648,2585.5,19.03972,725345.895723981,9678645.08192449,2510.2,19.39611,10.1810906739226,0.356390000000001,2,1679945026,"7da0f3b5c9",538
"539","24",722315.901545339,9677231.52627935,2515.8,8.95028,722333.024004343,9677252.30755731,2514.4,8.9625,0.0280189494701136,0.012220000000001,3,1679993865,"7da0f3b5c9",539
"540","25",722353.559407773,9677245.98012801,2513.8,11.90778,722375.39247507,9677093.0696478,2537.2,12.07194,0.203956833609109,0.164159999999999,3,1680005059,"7da0f3b5c9",540
"541","26",722539.140520062,9677356.01080518,2511.8,17.69222,725355.93204743,9678611.91679571,2508,18.01667,4.16786527586605,0.324450000000002,3,1680026460,"7da0f3b5c9",541
"542","27",725483.603807773,9679162.13587327,2480.9,19.82528,721639.811344912,9680060.43674178,2553.3,20.09667,5.61206321760283,0.27139,7,1686427548,"7da0f3b5c9",542
"543","28",721546.481822421,9679612.44308183,2556.3,22.68472,725409.498199082,9678627.8668646,2508.3,23.18361,7.1228391057601,0.498890000000003,7,1686438661,"7da0f3b5c9",543
"544","29",725199.531671622,9678906.71830391,2499.1,13.42889,721311.624974005,9676817.09387751,2665.9,13.61889,7.99754394929471,0.19,1,1686490628,"7da0f3b5c9",544
"545","3",725500.381568814,9679134.19418914,2471.5,21.12111,719934.785610565,9677601.91627398,2554.9,21.28833,7.72269703739093,0.167219999999997,6,1679692638,"7da0f3b5c9",545
"546","30",721181.29268977,9676794.38753161,2663.8,16.06556,725437.241763325,9678615.11945061,2487.2,17.31389,25.6751331297983,1.24833,1,1686503930,"7da0f3b5c9",546
"547","31",725339.562433082,9678883.37815978,2508.6,6.57917,722328.268565722,9677271.96935355,2514.4,6.87611,6.98581618433783,0.296939999999999,2,1686552754,"7da0f3b5c9",547
"548","32",722503.14589984,9677171.93137367,2529.4,15.35722,725413.188580407,9678632.66704947,2498.1,15.51361,4.49904029310776,0.15639,2,1686583849,"7da0f3b5c9",548
"549","33",725580.729389431,9678865.2357745,2485.4,17.09306,717797.91735366,9678674.48400657,2590,17.45083,12.5591619378798,0.357769999999999,2,1686590823,"7da0f3b5c9",549
"550","34",718074.916064078,9678614.95162837,2586.2,18.17222,725411.022248724,9678635.71299842,2492,18.94667,18.811204602291,0.774450000000002,2,1686596208,"7da0f3b5c9",550
"551","35",725579.997268735,9678865.79204097,2486.2,8.25528,722368.954837608,9677087.42227975,2529.1,8.39806,5.50879227044939,0.142779999999998,3,1686644633,"7da0f3b5c9",551
"552","36",722381.794206933,9677087.37602024,2530.2,8.59917,722367.257277935,9677242.51986062,2516.4,8.80167,0.397225307157592,0.202499999999999,3,1686646086,"7da0f3b5c9",552
"553","37",722522.69988186,9677383.23239651,2504.3,15.12417,725421.266932977,9678631.80037715,2485.6,15.41722,8.78732079678483,0.293050000000001,3,1686669902,"7da0f3b5c9",553
"554","38",725588.437864194,9678873.69312473,2486.5,16.88528,717775.775872501,9678688.27141299,2586.6,17.29472,14.2442935580562,0.40944,3,1686676661,"7da0f3b5c9",554
"555","39",718050.412527647,9678637.42451286,2586.8,18.12417,725419.998867251,9678628.87603693,2492.8,18.47944,11.219933598095,0.355270000000001,3,1686680926,"7da0f3b5c9",555
